Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,SPID,GOID,GO_id,term,GOSlim_bin,aspect,contig
comp108856_c0_seq2,sp,Q96N20,ZN75A_HUMAN,41.56,77,44,1,202,429,186,262,5.00E-13,68.9,Q96N20,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,108856
comp108868_c1_seq1,sp,P22897,MRC1_HUMAN,32.86,70,42,1,13,222,1292,1356,2.00E-07,52.8,P22897,GO:0006897,GO:0006897,endocytosis,transport,P,108868
comp108878_c0_seq1,sp,Q9UHY8,FEZ2_HUMAN,50.76,132,56,1,506,111,231,353,2.00E-24,102,Q9UHY8,GO:0007399,GO:0007399,nervous system development,developmental processes,P,108878
comp108900_c2_seq1,sp,Q95R48,OCTL_DROME,42.42,66,38,0,199,2,97,162,3.00E-12,64.7,Q95R48,GO:0055085,GO:0055085,transmembrane transport,transport,P,108900
comp108902_c0_seq1,sp,Q6P3N9,ZNT7_XENTR,68.97,116,36,0,803,456,275,390,2.00E-50,176,Q6P3N9,GO:0006810,GO:0006810,transport,transport,P,108902
comp108908_c0_seq1,sp,P06787,CALM_YEAST,36.36,99,60,1,291,4,3,101,1.00E-12,64.3,P06787,GO:0051300,GO:0051300,spindle pole body organization,cell cycle and proliferation,P,108908
comp108910_c0_seq1,sp,O43502,RA51C_HUMAN,52.1,119,57,0,2,358,121,239,2.00E-38,137,O43502,GO:0006310,GO:0006310,DNA recombination,DNA metabolism,P,108910
comp108920_c0_seq1,sp,Q05654,RTF21_SCHPO,33.75,80,53,0,242,3,1011,1090,3.00E-08,54.3,Q05654,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,108920
comp108922_c0_seq1,sp,Q9HCS5,E41LA_HUMAN,63.44,93,34,0,283,5,102,194,2.00E-31,120,Q9HCS5,GO:0008150,GO:0008150,biological_process,other biological processes,P,108922
comp108926_c0_seq1,sp,Q61116,ZN235_MOUSE,35.55,211,125,4,3,614,436,642,3.00E-34,134,Q61116,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,108926
comp108941_c0_seq1,sp,Q9CZ15,PSF1_MOUSE,61.54,195,74,1,780,199,1,195,1.00E-86,264,Q9CZ15,GO:0001833,GO:0001833,inner cell mass cell proliferation,cell cycle and proliferation,P,108941
comp108947_c1_seq1,sp,Q9BZC7,ABCA2_HUMAN,58.48,171,71,0,805,293,1142,1312,9.00E-59,208,Q9BZC7,GO:0006810,GO:0006810,transport,transport,P,108947
comp108954_c2_seq1,sp,P08F94,PKHD1_HUMAN,30.07,286,185,5,852,1,3007,3279,5.00E-28,119,P08F94,GO:0042592,GO:0042592,homeostatic process,other biological processes,P,108954
comp108954_c0_seq1,sp,Q80ZA4,PKHL1_MOUSE,35.8,553,307,13,1603,26,2630,3161,4.00E-88,304,Q80ZA4,GO:0008150,GO:0008150,biological_process,other biological processes,P,108954
comp108954_c1_seq1,sp,Q9UHN6,TMEM2_HUMAN,29.46,129,69,6,373,17,426,542,6.00E-07,51.2,Q9UHN6,GO:0007275,GO:0007275,multicellular organismal development,developmental processes,P,108954
comp108972_c0_seq1,sp,O14807,RASM_HUMAN,71.27,181,52,0,13,555,1,181,1.00E-84,256,O14807,GO:0007165,GO:0007165,signal transduction,signal transduction,P,108972
comp109000_c0_seq3,sp,Q5D1D6,GBP1_CHLAE,50,74,36,1,55,276,10,82,6.00E-18,82,Q5D1D6,GO:0006184,GO:0006184,GTP catabolic process,other metabolic processes,P,109000
comp109010_c2_seq1,sp,Q9NQQ7,S35C2_HUMAN,61.76,68,26,0,208,5,141,208,5.00E-25,99,Q9NQQ7,GO:0006810,GO:0006810,transport,transport,P,109010
comp109016_c0_seq1,sp,Q2NL00,GSTT1_BOVIN,39.34,122,72,2,365,3,43,163,4.00E-27,105,Q2NL00,GO:0006749,GO:0006749,glutathione metabolic process,other metabolic processes,P,109016
comp109032_c1_seq1,sp,P63047,ST4A1_RAT,37.93,58,36,0,83,256,99,156,5.00E-09,55.1,P63047,GO:0008202,GO:0008202,steroid metabolic process,other metabolic processes,P,109032
comp109032_c0_seq2,sp,Q8RUC1,SOT4_ARATH,34.31,102,48,5,35,334,166,250,1.00E-07,51.6,Q8RUC1,GO:0008150,GO:0008150,biological_process,other biological processes,P,109032
comp109032_c0_seq1,sp,Q95JD5,ST1B1_CANFA,40,120,67,3,3,359,154,269,2.00E-19,85.1,Q95JD5,GO:0006629,GO:0006629,lipid metabolic process,other metabolic processes,P,109032
comp109075_c0_seq1,sp,Q5PQ63,IMP2L_XENLA,53.54,99,46,0,3,299,59,157,6.00E-35,127,Q5PQ63,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,109075
comp109089_c0_seq1,sp,Q99675,CGRF1_HUMAN,35.56,90,54,1,807,550,235,324,9.00E-11,66.6,Q99675,GO:0007050,GO:0007050,cell cycle arrest,cell cycle and proliferation,P,109089
comp109090_c0_seq1,sp,A8WGS4,TLCD2_DANRE,54.95,202,90,1,942,337,29,229,2.00E-70,228,A8WGS4,GO:0008150,GO:0008150,biological_process,other biological processes,P,109090
comp109093_c0_seq2,sp,Q8K0U4,HS12A_MOUSE,36.76,68,43,0,37,240,431,498,2.00E-09,57.4,Q8K0U4,GO:0008150,GO:0008150,biological_process,other biological processes,P,109093
comp109099_c1_seq1,sp,Q62717,CAPS1_RAT,80,170,34,0,512,3,784,953,2.00E-92,297,Q62717,GO:0006810,GO:0006810,transport,transport,P,109099
comp109105_c1_seq1,sp,Q8MJC3,CASP3_RABIT,50.94,53,24,2,171,16,126,177,3.00E-08,52.4,Q8MJC3,GO:0006915,GO:0006915,apoptosis,death,P,109105
comp109119_c2_seq1,sp,O73853,CP17A_ICTPU,38.27,196,115,3,29,607,279,471,1.00E-34,132,O73853,GO:0006694,GO:0006694,steroid biosynthetic process,other metabolic processes,P,109119
comp109128_c0_seq1,sp,P66952,TPX_MYCTU,70.59,85,24,1,257,3,57,140,4.00E-34,120,P66952,GO:0045454,GO:0045454,cell redox homeostasis,other biological processes,P,109128
comp109129_c0_seq1,sp,Q8BVI4,DHPR_MOUSE,54.43,79,36,0,13,249,9,87,2.00E-23,95.1,Q8BVI4,GO:0033762,GO:0033762,response to glucagon stimulus,other biological processes,P,109129
comp109134_c0_seq2,sp,Q86Y37,CACL1_HUMAN,47.67,172,85,3,598,83,187,353,4.00E-43,153,Q86Y37,GO:0006511,GO:0006511,ubiquitin-dependent protein catabolic process,protein metabolism,P,109134
comp109155_c0_seq1,sp,Q9NVI1,FANCI_HUMAN,44.65,318,171,3,2,952,16,329,2.00E-80,271,Q9NVI1,GO:0006974,GO:0006974,response to DNA damage stimulus,stress response,P,109155
comp109157_c0_seq1,sp,Q8BGG7,UBS3B_MOUSE,43.55,248,137,2,2,736,388,635,1.00E-63,216,Q8BGG7,GO:0008150,GO:0008150,biological_process,other biological processes,P,109157
comp109166_c0_seq1,sp,Q5VV43,K0319_HUMAN,47.37,209,108,2,2,625,560,767,3.00E-51,182,Q5VV43,GO:0007399,GO:0007399,nervous system development,developmental processes,P,109166
comp109177_c1_seq1,sp,Q5TH69,BIG3_HUMAN,32.73,220,103,4,540,4,56,271,1.00E-21,97.1,Q5TH69,GO:0032012,GO:0032012,regulation of ARF protein signal transduction,signal transduction,P,109177
comp109181_c1_seq1,sp,Q147U1,ZN846_HUMAN,41.23,211,112,4,619,11,269,475,8.00E-40,147,Q147U1,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,109181
comp109186_c2_seq1,sp,Q9RDE2,TRI1_STRCO,65.06,83,29,0,249,1,666,748,4.00E-25,103,Q9RDE2,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,109186
comp109192_c0_seq1,sp,Q7TPH6,MYCB2_MOUSE,62.11,95,35,1,9,290,4560,4654,2.00E-40,148,Q7TPH6,GO:0021952,GO:0021952,central nervous system projection neuron axonogenesis,developmental processes,P,109192
comp109200_c0_seq2,sp,Q9ULM3,YETS2_HUMAN,31.96,97,63,1,29,310,1321,1417,8.00E-12,67.4,Q9ULM3,GO:0000122,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,RNA metabolism,P,109200
comp109208_c0_seq3,sp,Q8CHS8,VP37A_MOUSE,40.54,111,66,0,594,262,21,131,1.00E-22,97.8,Q8CHS8,GO:0015031,GO:0015031,protein transport,transport,P,109208
comp109225_c0_seq1,sp,P23098,DYHC_TRIGR,69.57,253,77,0,2,760,2672,2924,7.00E-119,381,P23098,GO:0007018,GO:0007018,microtubule-based movement,other biological processes,P,109225
comp109233_c1_seq1,sp,Q8R3C6,RBM19_MOUSE,61.29,93,36,0,281,3,381,473,5.00E-34,129,Q8R3C6,GO:0007275,GO:0007275,multicellular organismal development,developmental processes,P,109233
comp109234_c0_seq1,sp,P53355,DAPK1_HUMAN,33.73,166,105,1,23,520,474,634,2.00E-13,74.3,P53355,GO:0008624,GO:0008624,induction of apoptosis by extracellular signals,death,P,109234
comp109236_c1_seq1,sp,O60290,ZN862_HUMAN,30.97,113,72,3,178,513,988,1095,1.00E-08,57.4,O60290,GO:0008150,GO:0008150,biological_process,other biological processes,P,109236
comp109238_c0_seq1,sp,Q0IIE2,SHC1_BOVIN,60.2,98,39,0,632,339,376,473,7.00E-33,127,Q0IIE2,GO:0031532,GO:0031532,actin cytoskeleton reorganization,cell organization and biogenesis,P,109238
comp109254_c2_seq1,sp,Q7XA72,AB21G_ARATH,34.48,87,55,2,260,3,500,585,2.00E-08,54.7,Q7XA72,GO:0006200,GO:0006200,ATP catabolic process,other metabolic processes,P,109254
comp109255_c0_seq1,sp,P18433,PTPRA_HUMAN,36.49,148,91,2,494,57,655,801,3.00E-22,97.8,P18433,GO:0016311,GO:0016311,dephosphorylation,other metabolic processes,P,109255
comp109256_c0_seq1,sp,Q1RMT8,IRAK4_BOVIN,47.29,203,100,3,1188,595,193,393,4.00E-50,181,Q1RMT8,GO:0006468,GO:0006468,protein amino acid phosphorylation,protein metabolism,P,109256
comp109259_c0_seq1,sp,P15870,H1D_STRPU,60.53,76,29,1,555,328,31,105,7.00E-21,92,P15870,GO:0006334,GO:0006334,nucleosome assembly,cell organization and biogenesis,P,109259
comp109266_c0_seq1,sp,Q8N1G0,ZN687_HUMAN,30.43,115,66,4,330,1,675,780,4.00E-11,64.3,Q8N1G0,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,109266
comp109267_c0_seq1,sp,P62255,UB2G1_RAT,75.3,166,40,1,1862,1368,1,166,2.00E-83,267,P62255,GO:0016567,GO:0016567,protein ubiquitination,protein metabolism,P,109267
comp109298_c0_seq1,sp,Q5ZL16,WIPI3_CHICK,77.27,44,10,0,387,256,300,343,6.00E-18,81.6,Q5ZL16,GO:0042594,GO:0042594,response to starvation,stress response,P,109298
comp109307_c0_seq1,sp,Q5M8S2,PRS46_MOUSE,39.47,76,38,2,124,342,34,104,4.00E-08,53.9,Q5M8S2,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,109307
comp109319_c0_seq1,sp,Q55GK8,KIL1_DICDI,30.11,93,61,2,112,378,157,249,5.00E-06,48.1,Q55GK8,GO:0006477,GO:0006477,protein amino acid sulfation,protein metabolism,P,109319
comp109319_c1_seq1,sp,Q9Y662,HS3SB_HUMAN,55.56,162,72,0,1,486,228,389,3.00E-65,212,Q9Y662,GO:0015012,GO:0015012,heparan sulfate proteoglycan biosynthetic process,other metabolic processes,P,109319
comp109366_c0_seq1,sp,Q9BX63,FANCJ_HUMAN,51.61,186,73,6,511,2,210,394,5.00E-50,178,Q9BX63,GO:0006281,GO:0006281,DNA repair,stress response,P,109366
comp109370_c0_seq1,sp,Q9JKP8,CHRC1_MOUSE,58.89,90,35,1,44,307,19,108,1.00E-25,105,Q9JKP8,GO:0008150,GO:0008150,biological_process,other biological processes,P,109370
comp109377_c0_seq1,sp,Q9UPW8,UN13A_HUMAN,66.82,211,68,1,1,627,1089,1299,7.00E-97,314,Q9UPW8,GO:0006887,GO:0006887,exocytosis,transport,P,109377
comp109394_c5_seq1,sp,A2A884,ZEP3_MOUSE,34.62,78,50,1,319,89,1712,1789,4.00E-07,52,A2A884,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,109394
comp109394_c0_seq1,sp,O54963,REST_RAT,34.72,72,47,0,3,218,278,349,9.00E-10,62.8,O54963,GO:0045893,GO:0045893,"""positive regulation of transcription, DNA-dependent""",RNA metabolism,P,109394
comp109394_c1_seq1,sp,Q8BI99,ZN879_MOUSE,30.19,106,66,1,16,309,357,462,5.00E-09,56.6,Q8BI99,GO:0008150,GO:0008150,biological_process,other biological processes,P,109394
comp109398_c0_seq1,sp,Q58EM4,CF211_DANRE,57.98,119,42,1,354,22,188,306,4.00E-38,138,Q58EM4,GO:0008150,GO:0008150,biological_process,other biological processes,P,109398
comp109403_c0_seq1,sp,Q6NZM9,HDAC4_MOUSE,69.03,155,48,0,465,1,750,904,3.00E-77,253,Q6NZM9,GO:0070555,GO:0070555,response to interleukin-1,other biological processes,P,109403
comp109426_c0_seq1,sp,Q60648,SAP3_MOUSE,24.71,170,110,7,202,702,37,191,3.00E-10,61.6,Q60648,GO:0006629,GO:0006629,lipid metabolic process,other metabolic processes,P,109426
comp109436_c0_seq1,sp,Q9QXV1,CBX8_MOUSE,61.11,54,21,0,1249,1088,6,59,7.00E-14,76.3,Q9QXV1,GO:0000122,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,RNA metabolism,P,109436
comp109445_c0_seq1,sp,Q7TSU7,KIRR2_MOUSE,31.18,170,102,6,508,8,240,397,3.00E-09,59.3,Q7TSU7,GO:0008150,GO:0008150,biological_process,other biological processes,P,109445
comp109446_c0_seq1,sp,P17041,ZNF32_HUMAN,43.46,191,94,2,575,3,46,222,7.00E-48,163,P17041,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,109446
comp109453_c0_seq1,sp,Q47F10,PHNC_DECAR,79.17,72,15,0,218,3,76,147,1.00E-34,124,Q47F10,GO:0006810,GO:0006810,transport,transport,P,109453
comp109459_c0_seq1,sp,P34147,RACA_DICDI,48.68,76,39,0,2,229,512,587,3.00E-17,84.3,P34147,GO:0007264,GO:0007264,small GTPase mediated signal transduction,signal transduction,P,109459
comp109460_c0_seq1,sp,Q7Z3E1,PARPT_HUMAN,43.55,62,34,1,184,2,580,641,7.00E-07,50.1,Q7Z3E1,GO:0060021,GO:0060021,palate development,other biological processes,P,109460
comp109481_c1_seq1,sp,A4FV08,GNPI1_BOVIN,77.97,236,47,2,867,172,45,279,5.00E-133,385,A4FV08,GO:0006044,GO:0006044,N-acetylglucosamine metabolic process,other metabolic processes,P,109481
comp109484_c0_seq2,sp,P50748,KNTC1_HUMAN,24.89,237,144,9,43,663,1,233,3.00E-07,55.1,P50748,GO:0006461,GO:0006461,protein complex assembly,cell organization and biogenesis,P,109484
comp109497_c0_seq1,sp,P09152,NARG_ECOLI,90.28,72,7,0,9,224,29,100,8.00E-41,147,P09152,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,109497
comp109505_c0_seq1,sp,Q34947,NU5M_LUMTE,37.18,433,254,5,2247,961,34,452,1.00E-44,174,Q34947,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,109505
comp109511_c0_seq1,sp,P33248,TYB12_LATJA,79.07,43,9,0,820,692,1,43,5.00E-06,47.4,P33248,GO:0007010,GO:0007010,cytoskeleton organization,cell organization and biogenesis,P,109511
comp109512_c0_seq1,sp,P52846,ST1A1_MACFA,35.71,168,95,3,3,476,25,189,5.00E-28,110,P52846,GO:0006584,GO:0006584,catecholamine metabolic process,other metabolic processes,P,109512
comp109512_c1_seq1,sp,Q9M1V1,SOT6_ARATH,34.12,85,51,1,243,4,223,307,2.00E-07,51.6,Q9M1V1,GO:0008150,GO:0008150,biological_process,other biological processes,P,109512
comp109521_c0_seq1,sp,Q91754,GCKR_XENLA,42.11,133,72,2,6,395,242,372,8.00E-21,92,Q91754,GO:0005975,GO:0005975,carbohydrate metabolic process,other metabolic processes,P,109521
comp109532_c0_seq1,sp,P12261,EF1G_ARTSA,59.39,426,166,3,1487,228,1,425,4.00E-161,471,P12261,GO:0006414,GO:0006414,translational elongation,protein metabolism,P,109532
comp109539_c0_seq1,sp,Q9CQ69,QCR8_MOUSE,48.78,82,42,0,96,341,1,82,3.00E-21,89,Q9CQ69,GO:0006810,GO:0006810,transport,transport,P,109539
comp109543_c0_seq1,sp,Q6XIM8,RS15A_DROYA,86.92,130,17,0,138,527,1,130,6.00E-81,243,Q6XIM8,GO:0006412,GO:0006412,translation,protein metabolism,P,109543
comp109547_c0_seq1,sp,P07909,ROA1_DROME,44.32,185,94,3,264,800,22,203,3.00E-41,157,P07909,GO:0000381,GO:0000381,"""regulation of alternative nuclear mRNA splicing, via spliceosome""",RNA metabolism,P,109547
comp109547_c0_seq2,sp,P48810,RB87F_DROME,46.29,175,87,2,288,794,21,194,9.00E-41,156,P48810,GO:0007067,GO:0007067,mitosis,cell cycle and proliferation,P,109547
comp109549_c0_seq1,sp,Q86FP7,RS23_DERVA,87.41,143,17,1,82,507,1,143,3.00E-86,257,Q86FP7,GO:0006412,GO:0006412,translation,protein metabolism,P,109549
comp109550_c0_seq1,sp,Q8ISP0,RS18_BRABE,90.07,141,14,0,942,520,1,141,2.00E-90,275,Q8ISP0,GO:0006412,GO:0006412,translation,protein metabolism,P,109550
comp109558_c0_seq1,sp,Q9YIC0,EF1A_ORYLA,86.97,445,58,0,80,1414,1,445,0,810,Q9YIC0,GO:0006414,GO:0006414,translational elongation,protein metabolism,P,109558
comp109561_c0_seq1,sp,P08570,RLA1_DROME,60.71,112,42,1,153,482,1,112,3.00E-27,105,P08570,GO:0006414,GO:0006414,translational elongation,protein metabolism,P,109561
comp109562_c0_seq1,sp,P48159,RL23_DROME,88.89,126,14,0,430,53,14,139,3.00E-69,213,P48159,GO:0007052,GO:0007052,mitotic spindle organization,cell cycle and proliferation,P,109562
comp109565_c0_seq1,sp,P49395,RS3A_APLCA,82.26,265,44,1,936,151,1,265,2.00E-153,438,P49395,GO:0006412,GO:0006412,translation,protein metabolism,P,109565
comp109566_c0_seq1,sp,Q02543,RL18A_HUMAN,69.89,176,53,0,82,609,1,176,1.00E-89,268,Q02543,GO:0044267,GO:0044267,cellular protein metabolic process,protein metabolism,P,109566
comp109568_c0_seq1,sp,O61462,RL37A_CRYST,83.7,92,15,0,344,69,1,92,7.00E-38,130,O61462,GO:0006412,GO:0006412,translation,protein metabolism,P,109568
comp109569_c0_seq1,sp,P31674,RS15_ORYSJ,79.87,154,23,1,41,478,1,154,3.00E-64,201,P31674,GO:0006412,GO:0006412,translation,protein metabolism,P,109569
comp109571_c0_seq1,sp,Q9W237,RS16_DROME,87.14,140,18,0,104,523,9,148,5.00E-76,231,Q9W237,GO:0006412,GO:0006412,translation,protein metabolism,P,109571
comp109572_c0_seq1,sp,P27075,RL44_CANTR,79.25,106,22,0,46,363,1,106,3.00E-43,144,P27075,GO:0046898,GO:0046898,response to cycloheximide,other biological processes,P,109572
comp109573_c0_seq1,sp,Q94613,RS19_MYAAR,80.42,143,28,0,906,478,1,143,3.00E-82,251,Q94613,GO:0006412,GO:0006412,translation,protein metabolism,P,109573
comp109581_c0_seq1,sp,Q8C8H8,KY_MOUSE,29.91,117,81,1,3,350,269,385,6.00E-12,67,Q8C8H8,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,109581
comp109584_c1_seq1,sp,Q8BVF7,APH1A_MOUSE,53.68,190,74,3,8,577,72,247,2.00E-54,182,Q8BVF7,GO:0042987,GO:0042987,amyloid precursor protein catabolic process,other metabolic processes,P,109584
comp109602_c0_seq1,sp,Q2VPM4,Z703B_XENLA,36.22,196,109,5,906,322,347,527,3.00E-15,79.3,Q2VPM4,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,109602
comp109604_c0_seq1,sp,Q9GPH3,ATFC_BOMMO,57.14,70,30,0,1209,1418,163,232,6.00E-15,78.6,Q9GPH3,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,109604
comp109629_c0_seq2,sp,P18887,XRCC1_HUMAN,39.61,154,87,3,884,432,1,151,1.00E-27,116,P18887,GO:0010033,GO:0010033,response to organic substance,other biological processes,P,109629
comp109639_c0_seq1,sp,Q9Y4C8,RBM19_HUMAN,56.46,209,87,2,664,38,731,935,7.00E-69,234,Q9Y4C8,GO:0007275,GO:0007275,multicellular organismal development,developmental processes,P,109639
comp109642_c0_seq1,sp,B2UAP5,NADA_RALPJ,90.54,74,7,0,223,2,94,167,3.00E-41,144,B2UAP5,GO:0009435,GO:0009435,NAD biosynthetic process,other metabolic processes,P,109642
comp109645_c0_seq1,sp,P31721,C1QB_RAT,42.86,63,31,2,90,266,114,175,2.00E-06,47.8,P31721,GO:0006955,GO:0006955,immune response,other biological processes,P,109645
comp109663_c1_seq1,sp,Q9W6Z2,TBPL1_XENLA,57.22,180,74,3,313,849,3,180,2.00E-65,211,Q9W6Z2,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,109663
comp109675_c0_seq1,sp,P62315,SMD1_MOUSE,87.21,86,11,0,1037,780,1,86,1.00E-45,158,P62315,GO:0008380,GO:0008380,RNA splicing,RNA metabolism,P,109675
comp109701_c0_seq1,sp,Q86WU2,LDHD_HUMAN,61.23,227,65,1,1,612,98,324,1.00E-90,281,Q86WU2,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,109701
comp109706_c0_seq1,sp,Q8TDB6,DTX3L_HUMAN,54.7,181,76,5,152,688,554,730,1.00E-57,199,Q8TDB6,GO:0010390,GO:0010390,histone monoubiquitination,protein metabolism,P,109706
comp109710_c0_seq1,sp,Q92535,PIGC_HUMAN,47.94,267,138,1,2,799,14,280,6.00E-73,233,Q92535,GO:0044267,GO:0044267,cellular protein metabolic process,protein metabolism,P,109710
comp109715_c0_seq1,sp,Q9MYM7,B3GT1_PONPY,35.75,193,107,2,22,576,132,315,1.00E-31,123,Q9MYM7,GO:0006486,GO:0006486,protein amino acid glycosylation,protein metabolism,P,109715
comp109717_c0_seq1,sp,Q12768,STRUM_HUMAN,62.67,75,27,1,234,10,1002,1075,2.00E-25,103,Q12768,GO:0008219,GO:0008219,cell death,death,P,109717
comp109718_c0_seq3,sp,P34743,BTG1_CHICK,50.63,158,74,2,1363,902,11,168,2.00E-42,155,P34743,GO:0045663,GO:0045663,positive regulation of myoblast differentiation,developmental processes,P,109718
comp109726_c1_seq1,sp,P59016,VP33B_MOUSE,51.15,131,63,1,1,393,248,377,1.00E-34,130,P59016,GO:0006944,GO:0006944,membrane fusion,cell organization and biogenesis,P,109726
comp109726_c0_seq1,sp,Q9D2N9,VP33A_MOUSE,36.67,120,69,3,1,351,57,172,6.00E-08,53.9,Q9D2N9,GO:0032418,GO:0032418,lysosome localization,other biological processes,P,109726
comp109735_c0_seq1,sp,O75031,HSF2B_HUMAN,39.05,315,188,3,213,1154,19,330,3.00E-61,207,O75031,GO:0006366,GO:0006366,transcription from RNA polymerase II promoter,RNA metabolism,P,109735
comp109736_c0_seq1,sp,Q8NE62,CHDH_HUMAN,63.75,80,29,0,582,343,493,572,1.00E-26,110,Q8NE62,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,109736
comp109740_c0_seq1,sp,A0QNG3,PBPA_MYCS2,41.25,80,47,0,248,9,16,95,3.00E-12,65.1,A0QNG3,GO:0009252,GO:0009252,peptidoglycan biosynthetic process,other metabolic processes,P,109740
comp109764_c0_seq1,sp,P41696,AZF1_YEAST,46.77,62,30,1,317,132,636,694,6.00E-10,60.1,P41696,GO:0009743,GO:0009743,response to carbohydrate stimulus,other biological processes,P,109764
comp109794_c0_seq1,sp,Q5BKK6,GFOD2_XENTR,48,50,26,0,4,153,321,370,2.00E-08,54.7,Q5BKK6,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,109794
comp109796_c0_seq1,sp,Q4KMG0,CDON_HUMAN,36.25,80,49,1,294,61,845,924,6.00E-09,57.4,Q4KMG0,GO:0051149,GO:0051149,positive regulation of muscle cell differentiation,other biological processes,P,109796
comp109797_c0_seq2,sp,Q6P616,RBM22_XENTR,78.25,308,65,1,1,918,3,310,0,539,Q6P616,GO:0008380,GO:0008380,RNA splicing,RNA metabolism,P,109797
comp109798_c0_seq1,sp,Q5E9Z7,RPC4_BOVIN,63.04,46,16,1,186,49,24,68,7.00E-08,52.8,Q5E9Z7,GO:0006383,GO:0006383,transcription from RNA polymerase III promoter,RNA metabolism,P,109798
comp109819_c0_seq2,sp,Q9FHN8,KCBP_ARATH,55.56,162,71,1,486,1,1006,1166,6.00E-39,146,Q9FHN8,GO:0009846,GO:0009846,pollen germination,other biological processes,P,109819
comp109829_c0_seq1,sp,Q7T292,MFRN2_DANRE,58.14,215,83,2,119,742,58,272,2.00E-87,271,Q7T292,GO:0055072,GO:0055072,iron ion homeostasis,other biological processes,P,109829
comp109829_c0_seq2,sp,Q7T292,MFRN2_DANRE,58.14,215,83,2,44,667,58,272,7.00E-88,271,Q7T292,GO:0055072,GO:0055072,iron ion homeostasis,other biological processes,P,109829
comp109831_c0_seq1,sp,Q7SX99,FUMH_DANRE,77.52,129,29,0,10,396,164,292,1.00E-57,192,Q7SX99,GO:0006106,GO:0006106,fumarate metabolic process,other metabolic processes,P,109831
comp109845_c0_seq1,sp,Q8K1R7,NEK9_MOUSE,38.78,294,169,4,858,1,372,662,3.00E-49,182,Q8K1R7,GO:0008150,GO:0008150,biological_process,other biological processes,P,109845
comp109847_c1_seq1,sp,Q5RDZ2,CRYL1_PONAB,48.7,115,55,3,407,69,207,319,8.00E-28,109,Q5RDZ2,GO:0006631,GO:0006631,fatty acid metabolic process,other metabolic processes,P,109847
comp109847_c0_seq1,sp,Q8SPX7,CRYL1_BOVIN,48.18,110,57,0,365,36,12,121,8.00E-29,112,Q8SPX7,GO:0006631,GO:0006631,fatty acid metabolic process,other metabolic processes,P,109847
comp109861_c0_seq1,sp,Q9PRL8,ACBP_CHICK,65.48,84,29,0,87,338,3,86,5.00E-19,82.8,Q9PRL8,GO:0006810,GO:0006810,transport,transport,P,109861
comp109881_c0_seq2,sp,Q08B72,MYPOP_XENLA,40.3,67,40,0,117,317,9,75,3.00E-08,53.9,Q08B72,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,109881
comp109887_c0_seq2,sp,P13056,NR2C1_HUMAN,58.33,84,29,3,265,29,162,244,2.00E-20,88.6,P13056,GO:0043401,GO:0043401,steroid hormone mediated signaling,signal transduction,P,109887
comp109889_c0_seq1,sp,P50053,KHK_HUMAN,48.19,83,43,0,20,268,181,263,6.00E-18,79.7,P50053,GO:0005975,GO:0005975,carbohydrate metabolic process,other metabolic processes,P,109889
comp109900_c0_seq1,sp,P39057,DYHC_ANTCR,86.45,155,21,0,466,2,2160,2314,5.00E-86,282,P39057,GO:0006200,GO:0006200,ATP catabolic process,other metabolic processes,P,109900
comp109910_c0_seq1,sp,Q9VUL9,FUCTA_DROME,35.71,182,109,6,89,619,295,473,3.00E-22,98.2,Q9VUL9,GO:0006486,GO:0006486,protein amino acid glycosylation,protein metabolism,P,109910
comp109923_c0_seq1,sp,Q5XJ34,KC15L_DANRE,61.82,55,21,0,165,1,17,71,9.00E-17,77.4,Q5XJ34,GO:0006813,GO:0006813,potassium ion transport,transport,P,109923
comp109924_c0_seq1,sp,O88845,AKA10_MOUSE,34.48,87,47,2,283,23,558,634,2.00E-06,49.7,O88845,GO:0008104,GO:0008104,protein localization,other biological processes,P,109924
