GeoID,SPID,evalue,ProteinName,Organism
comp134383_c0_seq2,Q6TNS2,8E-64,p21-activated protein kinase-interacting protein 1-like (PAK1-interacting protein 1-like),Danio rerio (Zebrafish) (Brachydanio rerio)
comp134386_c1_seq1,Q8NB78,2E-145,Lysine-specific histone demethylase 1B (EC 1.-.-.-) (Flavin-containing amine oxidase domain-containing protein 1) (Lysine-specific histone demethylase 2),Homo sapiens (Human)
comp134386_c1_seq3,Q9Y802,1E-09,Lysine-specific histone demethylase 1 (EC 1.-.-.-),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
comp134386_c1_seq5,Q21988,3E-81,Amine oxidase family member 1,Caenorhabditis elegans
comp134386_c1_seq6,Q8NB78,0,Lysine-specific histone demethylase 1B (EC 1.-.-.-) (Flavin-containing amine oxidase domain-containing protein 1) (Lysine-specific histone demethylase 2),Homo sapiens (Human)
comp134387_c0_seq1,Q08013,6E-80,Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma),Rattus norvegicus (Rat)
comp134394_c2_seq2,Q96T23,4E-25,Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex),Homo sapiens (Human)
comp134395_c0_seq4,P71359,6E-08,ATP-dependent DNA helicase RecQ (EC 3.6.4.12),728
comp134396_c0_seq1,D3ZUQ0,9E-49,RILP-like protein 1 (GAPDH's competitor of SIAH1 protein enhances life) (GOSPEL) (Rab-interacting lysosomal-like protein 1),Rattus norvegicus (Rat)
comp134397_c0_seq1,Q8WUA2,2E-80,Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4),Homo sapiens (Human)
comp134397_c0_seq3,Q9CXG3,4E-78,Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4),Mus musculus (Mouse)
comp134398_c2_seq1,Q29IL2,2E-86,Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2) (Protein twisted),Drosophila pseudoobscura pseudoobscura (Fruit fly)
comp134398_c2_seq2,Q9UKY4,5E-90,Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2),Homo sapiens (Human)
comp134398_c2_seq3,Q9W5D4,5E-81,Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2) (DmPOMT2) (dPOMT2) (Protein twisted),Drosophila melanogaster (Fruit fly)
comp134400_c0_seq3,P25071,2E-19,Calmodulin-like protein 12 (Touch-induced calmodulin-related protein 3),Arabidopsis thaliana (Mouse-ear cress)
comp134400_c0_seq4,O35648,4E-86,Centrin-3,Mus musculus (Mouse)
comp134403_c0_seq2,Q7Z3T8,2E-06,Zinc finger FYVE domain-containing protein 16 (Endofin) (Endosome-associated FYVE domain protein),Homo sapiens (Human)
comp134404_c0_seq1,P02833,1E-08,Homeotic protein antennapedia,Drosophila melanogaster (Fruit fly)
comp134404_c0_seq2,A7MB54,2E-44,H2.0-like homeobox protein (Homeobox protein HLX1),Bos taurus (Bovine)
comp134406_c0_seq1,Q6NXM2,7E-13,RCC1 and BTB domain-containing protein 1 (Regulator of chromosome condensation and BTB domain-containing protein 1),Mus musculus (Mouse)
comp134406_c1_seq1,O04316,6E-11,Nitrile-specifier protein 4 (AtNSP4),Arabidopsis thaliana (Mouse-ear cress)
comp134406_c1_seq2,Q8N653,0,Leucine-zipper-like transcriptional regulator 1 (LZTR-1),Homo sapiens (Human)
comp134409_c0_seq1,Q2KKX7,5E-29,Small integral membrane protein 7,Siniperca chuatsi (Chinese perch)
comp134418_c0_seq1,Q9DBS8,2E-71,Centrosomal protein POC5 (Protein of centriole 5),Mus musculus (Mouse)
comp134419_c0_seq2,Q9Y399,2E-77,"""28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt)""",Homo sapiens (Human)
comp134421_c1_seq2,P00533,4E-42,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),Homo sapiens (Human)
comp134422_c0_seq2,B7K079,6E-95,Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase),2198
comp134432_c0_seq1,P25804,1E-58,Cysteine proteinase 15A (EC 3.4.22.-) (Turgor-responsive protein 15A),Pisum sativum (Garden pea)
comp134434_c1_seq2,Q9CQK1,1E-24,Zinc finger HIT domain-containing protein 3 (Thyroid hormone receptor interactor 3) (Thyroid receptor-interacting protein 3) (TR-interacting protein 3) (TRIP-3),Mus musculus (Mouse)
comp134436_c0_seq1,Q5XHM7,2E-27,Carbohydrate sulfotransferase 12 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 2) (Chondroitin 4-sulfotransferase 2) (C4ST-2) (C4ST2),Xenopus laevis (African clawed frog)
comp134437_c0_seq1,D3ZSZ3,0,Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase),Rattus norvegicus (Rat)
comp134437_c0_seq3,A8XSC1,6E-122,Serine/threonine kinase NLK (EC 2.7.11.24) (Loss of intestine protein 1) (Nemo-like kinase),Caenorhabditis briggsae
comp134439_c0_seq1,Q9VVY3,5E-42,Glycogen-binding subunit 76A (CBM21 domain-containing protein CG9619),Drosophila melanogaster (Fruit fly)
comp134439_c0_seq2,Q9VVY3,3E-42,Glycogen-binding subunit 76A (CBM21 domain-containing protein CG9619),Drosophila melanogaster (Fruit fly)
comp134442_c0_seq1,O13728,2E-20,Alpha-actinin-like protein 1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
comp134442_c0_seq2,F1MF74,0,Protein-methionine sulfoxide oxidase MICAL2 (EC 1.14.13.-) (Molecule interacting with CasL protein 2) (MICAL-2),Bos taurus (Bovine)
comp134442_c0_seq3,Q7RTP6,0,Protein-methionine sulfoxide oxidase MICAL3 (EC 1.14.13.-) (Molecule interacting with CasL protein 3) (MICAL-3),Homo sapiens (Human)
comp134442_c1_seq1,Q7RTP6,2E-15,Protein-methionine sulfoxide oxidase MICAL3 (EC 1.14.13.-) (Molecule interacting with CasL protein 3) (MICAL-3),Homo sapiens (Human)
comp134443_c0_seq2,Q96QU8,1E-155,Exportin-6 (Exp6) (Ran-binding protein 20),Homo sapiens (Human)
comp134447_c0_seq2,Q5ZKJ5,9E-42,Transmembrane protein 180,10g6
comp134451_c0_seq1,Q9MZD2,3E-09,Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin) (C254) (Fragment),Oryctolagus cuniculus (Rabbit)
comp134451_c0_seq2,Q14315,3E-29,Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin),Homo sapiens (Human)
comp134451_c0_seq3,P21333,3E-27,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),Homo sapiens (Human)
comp134452_c0_seq1,Q8C8H8,2E-15,Kyphoscoliosis peptidase (EC 3.4.-.-),Mus musculus (Mouse)
comp134452_c0_seq5,Q8C8H8,7E-34,Kyphoscoliosis peptidase (EC 3.4.-.-),Mus musculus (Mouse)
comp134454_c0_seq1,Q761V0,1E-94,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),Mus musculus (Mouse)
comp134454_c0_seq2,Q96N87,3E-38,Sodium-dependent neutral amino acid transporter B(0)AT3 (Sodium- and chloride-dependent transporter XTRP2) (Solute carrier family 6 member 18) (System B(0) neutral amino acid transporter AT3),Homo sapiens (Human)
comp134455_c0_seq2,Q9CXS4,3E-58,Centromere protein V (CENP-V) (Proline-rich protein 6),Mus musculus (Mouse)
comp134458_c0_seq2,Q69L99,3E-22,Laccase-14 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 14) (Diphenol oxidase 14) (Urishiol oxidase 14),Os07g01110 B1026C12.14 OsJ
comp134463_c0_seq1,O55173,0,3-phosphoinositide-dependent protein kinase 1 (EC 2.7.11.1) (Protein kinase B kinase) (PkB kinase),Rattus norvegicus (Rat)
comp134463_c0_seq4,O42844,3E-24,Calcium/calmodulin-dependent protein kinase type II (CAM kinase II) (EC 2.7.11.17),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
comp134464_c1_seq1,Q9WTK8,4E-132,Meiotic recombination protein SPO11,Mus musculus (Mouse)
comp134466_c0_seq1,Q6PEE2,5E-35,CBP80/20-dependent translation initiation factor,Mus musculus (Mouse)
comp134468_c0_seq2,Q15853,6E-81,Upstream stimulatory factor 2 (Class B basic helix-loop-helix protein 12) (bHLHb12) (FOS-interacting protein) (FIP) (Major late transcription factor 2) (Upstream transcription factor 2),Homo sapiens (Human)
comp134471_c0_seq1,A2A3V2,3E-52,Solute carrier family 25 member 43,Mus musculus (Mouse)
comp134472_c3_seq1,Q08CY1,7E-30,Kelch-like protein 22,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp134475_c0_seq1,Q6KAQ7,9E-67,ZZ-type zinc finger-containing protein 3,Mus musculus (Mouse)
comp134477_c0_seq1,Q7SYN5,0,Retinoic acid receptor RXR-beta-A (Nuclear receptor subfamily 2 group B member 2-A) (Retinoid X receptor beta-A),Danio rerio (Zebrafish) (Brachydanio rerio)
comp134477_c0_seq2,Q8T5C6,0,Retinoic acid receptor RXR (RXR-like protein) (Retinoid X receptor) (BgRXR),Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)
comp134481_c0_seq1,Q8MI69,8E-07,WAP four-disulfide core domain protein 2 (Epididymal secretory protein E4),Sus scrofa (Pig)
comp134482_c0_seq1,Q6GLQ4,2E-18,Serine/threonine-protein phosphatase 1 regulatory subunit 10,Xenopus laevis (African clawed frog)
comp134483_c0_seq1,Q95NR9,1E-98,Calmodulin (CaM),Metridium senile (Brown sea anemone) (Frilled sea anemone)
comp134483_c0_seq2,O16305,1E-97,Calmodulin (CaM),Caenorhabditis elegans
comp134485_c0_seq1,Q9CQA6,3E-08,Coiled-coil-helix-coiled-coil-helix domain-containing protein 1,Mus musculus (Mouse)
comp134488_c0_seq1,Q16595,4E-38,"""Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]""",Homo sapiens (Human)
comp134489_c1_seq1,Q4IPI4,8E-09,Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4),874
comp134489_c1_seq2,Q964D9,2E-134,"""Actin, cytoplasmic""",Helisoma trivolvis (Snail)
comp134497_c1_seq1,Q92547,3E-23,DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1),Homo sapiens (Human)
comp134497_c1_seq2,Q9H8V3,0,Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene),Homo sapiens (Human)
comp134497_c1_seq5,Q92547,4E-23,DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1) (TopBP1) (DNA topoisomerase II-binding protein 1),Homo sapiens (Human)
comp134497_c1_seq6,Q9H8V3,0,Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene),Homo sapiens (Human)
comp134499_c0_seq1,Q8RV79,7E-22,Cytosolic sulfotransferase 11 (AtSOT11) (EC 2.8.2.-),Arabidopsis thaliana (Mouse-ear cress)
comp134499_c0_seq2,Q9BR01,5E-40,Sulfotransferase 4A1 (ST4A1) (EC 2.8.2.-) (Brain sulfotransferase-like protein) (hBR-STL) (hBR-STL-1) (Nervous system sulfotransferase) (NST),Homo sapiens (Human)
comp134505_c0_seq1,B4KKD5,5E-70,"""Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1) (Protein iconoclast)""",Drosophila mojavensis (Fruit fly)
comp134505_c0_seq2,P29541,2E-64,Elongation factor G (EF-G) (Fragment),Streptomyces ramocissimus
comp134505_c0_seq3,Q16S14,0,"""Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)""",Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
comp134509_c0_seq1,Q03573,6E-07,Uncharacterized protein C40H1.3,Caenorhabditis elegans
comp134509_c0_seq2,O60308,1E-101,Centrosomal protein of 104 kDa,Homo sapiens (Human)
comp134519_c0_seq6,Q8TA86,2E-07,Retinitis pigmentosa 9 protein (Pim-1-associated protein) (PAP-1),Homo sapiens (Human)
comp134524_c0_seq2,Q1RMP0,2E-22,DNA-directed RNA polymerase I subunit RPA12 (Zinc ribbon domain-containing protein 1),Bos taurus (Bovine)
comp134530_c1_seq1,P52655,4E-25,Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)],Homo sapiens (Human)
comp134534_c3_seq1,P97386,3E-07,DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3),Mus musculus (Mouse)
comp134541_c0_seq1,O43149,5E-101,Zinc finger ZZ-type and EF-hand domain-containing protein 1,Homo sapiens (Human)
comp134543_c0_seq1,Q4UMH6,2E-21,Putative ankyrin repeat protein RF,RF
comp134547_c1_seq1,Q8IMA8,4E-46,"""Protein pangolin, isoform J (dTCF)""",Drosophila melanogaster (Fruit fly)
comp134547_c1_seq2,Q9YHE8,8E-47,Transcription factor 7-like 1-A (HMG box transcription factor 3-A) (TCF-3) (TCF-3-A) (zTcf-3) (Protein headless),Danio rerio (Zebrafish) (Brachydanio rerio)
comp134547_c1_seq3,P40645,3E-09,Transcription factor SOX-6 (SOX-LZ),Mus musculus (Mouse)
comp134547_c1_seq4,P91943,4E-59,"""Protein pangolin, isoforms A/H/I (dTCF)""",Drosophila melanogaster (Fruit fly)
comp134552_c1_seq3,Q9DC53,4E-100,Copine-8 (Copine VIII),Mus musculus (Mouse)
comp134552_c1_seq5,Q9SS90,1E-21,E3 ubiquitin-protein ligase RGLG1 (EC 6.3.2.-) (RING domain ligase 1),Arabidopsis thaliana (Mouse-ear cress)
comp134552_c1_seq7,Q96FN4,1E-113,Copine-2 (Copine II),Homo sapiens (Human)
comp134552_c1_seq8,Q9DC53,3E-146,Copine-8 (Copine VIII),Mus musculus (Mouse)
comp134555_c1_seq1,Q29257,5E-17,Tetraspanin-31 (Tspan-31) (Sarcoma-amplified sequence homolog) (Fragment),Sus scrofa (Pig)
comp134555_c2_seq1,Q7ZUB3,3E-25,Tetraspanin-31 (Tspan-31) (Sarcoma-amplified sequence homolog),Danio rerio (Zebrafish) (Brachydanio rerio)
comp134555_c2_seq6,Q7ZUB3,1E-26,Tetraspanin-31 (Tspan-31) (Sarcoma-amplified sequence homolog),Danio rerio (Zebrafish) (Brachydanio rerio)
comp134555_c2_seq7,Q9D8C2,2E-24,Tetraspanin-13 (Tspan-13) (Transmembrane 4 superfamily member 13),Mus musculus (Mouse)
comp134557_c0_seq2,Q792Q4,1E-49,Cysteine-rich PDZ-binding protein (Cysteine-rich interactor of PDZ three) (Cysteine-rich interactor of PDZ3),Rattus norvegicus (Rat)
comp134565_c0_seq1,Q9Z0R4,7E-71,Intersectin-1 (EH and SH3 domains protein 1),Mus musculus (Mouse)
comp134565_c1_seq1,Q15811,3E-62,Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17),Homo sapiens (Human)
comp134565_c1_seq2,Q99M51,2E-15,Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1),Mus musculus (Mouse)
comp134566_c0_seq1,A1A4M4,3E-76,Putative deoxyribonuclease TATDN3 (EC 3.1.21.-),Bos taurus (Bovine)
comp134566_c0_seq2,Q05AV0,1E-63,Putative deoxyribonuclease tatdn3-A (EC 3.1.21.-),Xenopus laevis (African clawed frog)
comp134570_c0_seq1,A6H791,3E-100,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase subunit TRMT61A) (tRNA(m1A58)MTase subunit TRMT61A),Bos taurus (Bovine)
comp134572_c0_seq12,O70468,2E-19,"""Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)""",Mus musculus (Mouse)
comp134572_c0_seq3,Q23551,3E-32,Twitchin (EC 2.7.11.1) (Uncoordinated protein 22),Caenorhabditis elegans
comp134572_c0_seq4,Q90233,8E-10,"""Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform) (CPRO axocard 1) (Fragment)""",Ambystoma mexicanum (Axolotl)
comp134572_c0_seq5,Q15746,2E-07,"""Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]""",Homo sapiens (Human)
comp134572_c0_seq6,Q23551,4E-38,Twitchin (EC 2.7.11.1) (Uncoordinated protein 22),Caenorhabditis elegans
comp134572_c0_seq8,Q8WZ42,8E-29,Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14),Homo sapiens (Human)
comp134573_c1_seq1,Q9SZ53,3E-49,Probable protein phosphatase 2C 60 (AtPP2C60) (EC 3.1.3.16),Arabidopsis thaliana (Mouse-ear cress)
comp134573_c1_seq2,Q93YS2,2E-08,Probable protein phosphatase 2C 51 (AtPP2C51) (EC 3.1.3.16),Arabidopsis thaliana (Mouse-ear cress)
comp134573_c1_seq3,P49596,3E-145,Probable protein phosphatase 2C T23F11.1 (PP2C) (EC 3.1.3.16),Caenorhabditis elegans
comp134574_c2_seq1,Q9UKK3,5E-11,Poly [ADP-ribose] polymerase 4 (PARP-4) (EC 2.4.2.30) (193 kDa vault protein) (ADP-ribosyltransferase diphtheria toxin-like 4) (ARTD4) (PARP-related/IalphaI-related H5/proline-rich) (PH5P) (Vault poly(ADP-ribose) polymerase) (VPARP),Homo sapiens (Human)
comp134574_c4_seq1,Q9UKK3,2E-153,Poly [ADP-ribose] polymerase 4 (PARP-4) (EC 2.4.2.30) (193 kDa vault protein) (ADP-ribosyltransferase diphtheria toxin-like 4) (ARTD4) (PARP-related/IalphaI-related H5/proline-rich) (PH5P) (Vault poly(ADP-ribose) polymerase) (VPARP),Homo sapiens (Human)
comp134574_c4_seq2,C7G046,1E-27,von Willebrand factor A domain-containing protein DDB,DDB
comp134576_c0_seq1,Q7SXF6,5E-70,Cysteine-rich with EGF-like domain protein 2,Danio rerio (Zebrafish) (Brachydanio rerio)
comp134576_c0_seq2,Q5EA46,8E-70,Cysteine-rich with EGF-like domain protein 1,Bos taurus (Bovine)
comp134579_c0_seq2,Q9BZE2,7E-132,tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3),Homo sapiens (Human)
comp134581_c0_seq2,Q5FVJ6,2E-66,Seipin (Bernardinelli-Seip congenital lipodystrophy type 2 protein homolog),Rattus norvegicus (Rat)
comp134581_c2_seq2,A7Z035,3E-71,Clathrin interactor 1 (Epsin-4),Bos taurus (Bovine)
comp134586_c0_seq1,Q4LDE5,3E-10,"""Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)""",Homo sapiens (Human)
comp134586_c0_seq2,P0C6B8,5E-10,"""Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1""",Rattus norvegicus (Rat)
comp134588_c0_seq2,Q28XE2,1E-48,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Drosophila pseudoobscura pseudoobscura (Fruit fly)
comp134588_c0_seq4,Q28XE2,9E-53,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Drosophila pseudoobscura pseudoobscura (Fruit fly)
comp134593_c0_seq1,Q27433,6E-96,Mechanosensory protein 2,Caenorhabditis elegans
comp134598_c0_seq3,P37059,4E-14,Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239),Homo sapiens (Human)
comp134598_c0_seq4,P55006,1E-39,Retinol dehydrogenase 7 (EC 1.1.1.105) (Retinol dehydrogenase type III) (RODH III),Rattus norvegicus (Rat)
comp134605_c0_seq1,Q8BXX2,2E-10,Zinc finger and BTB domain-containing protein 49 (Zinc finger protein 509),Mus musculus (Mouse)
comp134605_c0_seq4,Q9NSC2,2E-10,Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1),Homo sapiens (Human)
comp134605_c0_seq7,Q8BXX2,3E-12,Zinc finger and BTB domain-containing protein 49 (Zinc finger protein 509),Mus musculus (Mouse)
comp134606_c0_seq1,Q8BG18,1E-47,N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1),Mus musculus (Mouse)
comp134609_c0_seq3,P20488,2E-46,Synaptophysin (Major synaptic vesicle protein p38),Bos taurus (Bovine)
comp134611_c0_seq3,B4M375,3E-92,"""NFU1 iron-sulfur cluster scaffold homolog, mitochondrial""",Drosophila virilis (Fruit fly)
comp134612_c0_seq1,Q5R4C9,6E-18,Nuclear receptor-binding factor 2 (NRBF-2),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp134614_c0_seq1,Q6IMH0,7E-34,"""Testis, prostate and placenta-expressed protein""",Mus musculus (Mouse)
comp134615_c0_seq2,Q9QY61,2E-26,Iroquois-class homeodomain protein IRX-4 (Homeodomain protein IRXA3) (Iroquois homeobox protein 4),Mus musculus (Mouse)
comp134619_c0_seq1,Q11179,4E-165,Putative serine/threonine-protein kinase C05D10.2 (EC 2.7.11.24),Caenorhabditis elegans
comp134624_c0_seq1,Q99622,7E-29,Protein C10,Homo sapiens (Human)
comp134625_c0_seq1,Q6FQU5,3E-66,ATP-dependent RNA helicase DHH1 (EC 3.6.4.13),Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)
comp134625_c0_seq2,Q5WR10,0,Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56),Canis familiaris (Dog) (Canis lupus familiaris)
comp134627_c0_seq1,Q8C008,1E-19,Double zinc ribbon and ankyrin repeat-containing protein 1,Mus musculus (Mouse)
comp134627_c1_seq2,Q4R5L5,2E-69,Annexin A7 (Annexin VII) (Annexin-7),Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
comp134628_c0_seq1,Q66IY8,2E-108,Interferon regulatory factor 2-binding protein-like A (Enhanced at puberty protein 1 homolog A),Xenopus laevis (African clawed frog)
comp134631_c0_seq1,P23819,4E-41,"""Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)""",Mus musculus (Mouse)
comp134631_c0_seq2,Q91755,4E-19,"""Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Fragment)""",Xenopus laevis (African clawed frog)
comp134631_c0_seq3,P19491,4E-27,"""Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)""",Rattus norvegicus (Rat)
comp134632_c1_seq1,Q5VWZ2,1E-70,Lysophospholipase-like protein 1 (EC 3.1.2.-),Homo sapiens (Human)
comp134643_c0_seq1,Q94516,7E-34,"""ATP synthase subunit b, mitochondrial (ATPase subunit b) (FO-ATP synthase subunit b)""",Drosophila melanogaster (Fruit fly)
comp134645_c0_seq1,Q66H59,2E-59,N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase),Rattus norvegicus (Rat)
comp134653_c1_seq1,Q66JG1,6E-85,DNA damage-binding protein 2 (Damage-specific DNA-binding protein 2),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp134660_c0_seq1,Q9BLG0,2E-37,Troponin C (TN-C),Todarodes pacificus (Japanese flying squid) (Ommastrephes pacificus)
comp134662_c0_seq1,P15589,4E-59,Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase),Rattus norvegicus (Rat)
comp134669_c0_seq1,Q9IBG7,1E-85,Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin),Xenopus laevis (African clawed frog)
comp134670_c0_seq1,Q96LD1,1E-36,Zeta-sarcoglycan (Zeta-SG) (ZSG1),Homo sapiens (Human)
comp134672_c0_seq2,Q9EQW7,2E-95,Kinesin-like protein KIF13A,Mus musculus (Mouse)
comp134672_c0_seq4,Q8CI96,1E-14,CAP-Gly domain-containing linker protein 4 (Restin-like protein 2),Mus musculus (Mouse)
comp134672_c0_seq5,Q9NQT8,2E-83,Kinesin-like protein KIF13B (Kinesin-like protein GAKIN),Homo sapiens (Human)
comp134677_c0_seq1,Q3V1H1,3E-12,Cytoskeleton-associated protein 2,Mus musculus (Mouse)
comp134678_c2_seq1,Q8NCG5,5E-15,Carbohydrate sulfotransferase 4 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3) (GST-3) (High endothelial cells N-acetylglucosamine 6-O-sulfotransferase) (HEC-GlcNAc6ST) (L-selectin ligand sulfotransferase) (LSST) (N-acetylglucosamine 6-O-sulfotransferase 2) (GlcNAc6ST-2) (Gn6st-2),Homo sapiens (Human)
comp134681_c1_seq1,Q9QYP0,5E-120,Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4),Rattus norvegicus (Rat)
comp134681_c2_seq1,Q6A051,1E-18,Attractin-like protein 1,Mus musculus (Mouse)
comp134681_c3_seq1,Q8W4K1,9E-08,tRNA wybutosine-synthesizing protein 2/3/4 (EC 2.-.-.-) [Includes: tRNA wybutosine-synthesizing protein 3 homolog (EC 2.5.1.-); tRNA wybutosine synthesizing protein 2 homolog (EC 2.1.1.-)],Arabidopsis thaliana (Mouse-ear cress)
comp134683_c0_seq3,Q5RKH6,1E-06,Protein OS-9,Rattus norvegicus (Rat)
comp134690_c0_seq1,Q01490,1E-22,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B),Orpinomyces sp. (strain PC-2)
